trade_date,ticker,open,high,low,close,volume,ma5,ma20,ma60,slope5,slope20,slope60,ma_order_code,slope_code,trend_type,trend_strength,action_bias,buy_threshold_pct,sell_threshold_pct,rebound_pct,budget_multiplier,reason
2024-01-02,SPY,472.1600036621094,473.6700134277344,470.489990234375,472.6499938964844,123623700.0,475.36199951171875,468.13200225830076,447.3076670328776,0.004242058985237702,0.005859413664479702,0.005767379853164425,5>20>60,+++,strong_uptrend,0.005032329562595647,buy_bias,0.005,,0.002,1.2,"order=5>20>60, slope=+++"
2024-01-03,SPY,470.42999267578125,471.19000244140625,468.1700134277344,468.7900085449219,103585900.0,473.99000244140626,468.73700256347655,447.9618336995443,-0.002210340170519689,0.004775898996812013,0.005162742817840985,5>20>60,-++,range,0.003570488347871645,hold_bias,,,,0.0,"order=5>20>60, slope=-++"
2024-01-04,SPY,468.29998779296875,470.9599914550781,467.04998779296875,467.2799987792969,84232200.0,472.1440002441406,469.2710021972656,448.5450002034505,-0.007187284247033071,0.0038859382409749854,0.004568442246565829,5>20>60,-++,range,0.005673112045122197,hold_bias,,,,0.0,"order=5>20>60, slope=-++"
2024-01-05,SPY,467.489990234375,470.44000244140625,466.42999267578125,467.9200134277344,86118900.0,470.39000244140624,469.9290023803711,449.10133361816406,-0.010459391107029245,0.003838661132760646,0.004009916926272218,5>20>60,-++,range,0.00718327727859726,hold_bias,,,,0.0,"order=5>20>60, slope=-++"
2024-01-08,SPY,468.42999267578125,474.75,468.29998779296875,474.6000061035156,74879100.0,470.2480041503906,470.7475021362305,449.739333597819,-0.007894677676198933,0.004289184685140505,0.0039679717434742395,20>5>60,-++,range,0.006027688592336466,hold_bias,,,,0.0,"order=20>5>60, slope=-++"
2024-01-09,SPY,471.8699951171875,474.92999267578125,471.3500061035156,473.8800048828125,65931400.0,470.49400634765624,471.4315017700195,450.4096669514974,-0.0034946836042207058,0.00460394859822535,0.004157145319201224,20>5>60,-++,range,0.003959955445418203,hold_bias,,,,0.0,"order=20>5>60, slope=-++"
2024-01-10,SPY,474.1600036621094,477.45001220703125,473.8699951171875,476.55999755859375,67310600.0,472.0480041503906,472.16000213623045,451.16066691080727,0.0035247384093604625,0.004747525146476293,0.004585453523489409,20>5>60,+++,weak_uptrend,0.004103717453321,buy_bias,0.008,,0.003,1.0,"order=20>5>60, slope=+++"
2024-01-11,SPY,477.5899963378906,478.1199951171875,472.260009765625,476.3500061035156,77940700.0,473.86200561523435,472.77250213623046,451.83250020345054,0.007685309523797448,0.00430166913432492,0.004654177318418348,5>20>60,+++,strong_uptrend,0.006063990965879869,buy_bias,0.005,,0.002,1.2,"order=5>20>60, slope=+++"
2024-01-12,SPY,477.8399963378906,478.6000061035156,475.2300109863281,476.67999267578125,58026400.0,475.61400146484374,473.08150177001954,452.51016693115236,0.010882168631504832,0.0034999782445700053,0.0046635321880894465,5>20>60,+++,strong_uptrend,0.007423784226741306,buy_bias,0.005,,0.002,1.2,"order=5>20>60, slope=+++"
2024-01-16,SPY,475.260009765625,476.6099853515625,473.05999755859375,474.92999267578125,85014900.0,475.67999877929685,473.22750091552734,453.2555002848307,0.007694121354126313,0.002260883544703341,0.004643209232682462,5>20>60,+++,strong_uptrend,0.0054539675870106516,buy_bias,0.005,,0.002,1.2,"order=5>20>60, slope=+++"
