trade_date,ticker,open,high,low,close,volume,ma5,ma20,ma60,slope5,slope20,slope60,ma_order_code,slope_code,ma_state_code,slope_state_code,day_state_code,state_seq_5d,trend_strength,action_bias
2024/1/2,SPY,472.1600037,473.6700134,470.4899902,472.6499939,123623700,475.3619995,468.1320023,447.307667,0.004242059,0.005859414,0.00576738,5>20>60,+++,a,1,a1,a1a1a1a1a1,0.00503233,
2024/1/3,SPY,470.4299927,471.1900024,468.1700134,468.7900085,103585900,473.9900024,468.7370026,447.9618337,-0.00221034,0.004775899,0.005162743,5>20>60,-++,a,5,a5,a1a1a1a1a1,0.003570488,
2024/1/4,SPY,468.2999878,470.9599915,467.0499878,467.2799988,84232200,472.1440002,469.2710022,448.5450002,-0.007187284,0.003885938,0.004568442,5>20>60,-++,a,5,a5,a1a1a1a1a5,0.005673112,
2024/1/5,SPY,467.4899902,470.4400024,466.4299927,467.9200134,86118900,470.3900024,469.9290024,449.1013336,-0.010459391,0.003838661,0.004009917,5>20>60,-++,a,5,a5,a1a1a1a5a5,0.007183277,
2024/1/8,SPY,468.4299927,474.75,468.2999878,474.6000061,74879100,470.2480042,470.7475021,449.7393336,-0.007894678,0.004289185,0.003967972,20>5>60,-++,c,5,c5,a1a1a5a5a5,0.006027689,
2024/1/9,SPY,471.8699951,474.9299927,471.3500061,473.8800049,65931400,470.4940063,471.4315018,450.409667,-0.003494684,0.004603949,0.004157145,20>5>60,-++,c,5,c5,a1a5a5a5c5,0.003959955,
2024/1/10,SPY,474.1600037,477.4500122,473.8699951,476.5599976,67310600,472.0480042,472.1600021,451.1606669,0.003524738,0.004747525,0.004585454,20>5>60,+++,c,1,c1,a5a5a5c5c5,0.004103717,
2024/1/11,SPY,477.5899963,478.1199951,472.2600098,476.3500061,77940700,473.8620056,472.7725021,451.8325002,0.00768531,0.004301669,0.004654177,5>20>60,+++,a,1,a1,a5a5c5c5c1,0.006063991,
2024/1/12,SPY,477.8399963,478.6000061,475.230011,476.6799927,58026400,475.6140015,473.0815018,452.5101669,0.010882169,0.003499978,0.004663532,5>20>60,+++,a,1,a1,a5c5c5c1a1,0.007423784,
2024/1/16,SPY,475.2600098,476.6099854,473.0599976,474.9299927,85014900,475.6799988,473.2275009,453.2555003,0.007694121,0.002260884,0.004643209,5>20>60,+++,a,1,a1,c5c5c1a1a1,0.005453968,
2024/1/17,SPY,471.8200073,472.7900085,469.8699951,472.2900085,68843900,475.3619995,473.375502,454.0198339,0.003165466,0.001275455,0.004841028,5>20>60,+0+,a,1,a1,c5c1a1a1a1,0.002933575,
2024/1/18,SPY,474.0100098,477.0599976,472.4200134,476.4899902,91856200,475.347998,473.6015015,454.9415003,-0.000559284,0.001099176,0.005372992,5>20>60,00+,a,5,a5,c1a1a1a1a1,0.001683993,
2024/1/19,SPY,477.6499939,482.7200012,476.5400085,482.4299927,110834500,476.5639954,473.9810013,455.9743337,0.001858385,0.001592258,0.005998457,5>20>60,00+,a,1,a1,a1a1a1a1a5,0.002606561,
2024/1/22,SPY,484.0100098,485.2200012,482.7799988,483.4500122,75844900,477.9179993,474.7405014,456.9713338,0.005376954,0.002883545,0.006500817,5>20>60,+++,a,1,a1,a1a1a1a5a1,0.004853704,
2024/1/23,SPY,484.0100098,485.1099854,482.8900146,484.8599854,49945300,479.9039978,475.3485001,458.0931671,0.009584557,0.003688752,0.006927631,5>20>60,+++,a,1,a1,a1a1a5a1a1,0.00728443,
2024/1/24,SPY,487.8099976,488.769989,484.8800049,485.3900146,81765000,482.523999,475.9355011,459.3071676,0.012506198,0.004123583,0.007309258,5>20>60,+++,a,1,a1,a1a5a1a1a1,0.008952025,
